,genre,testtrainval
3765,Rock,training
3766,Rock,training
3775,International,training
3776,International,training
3777,International,training
3778,International,training
3779,International,training
3832,Folk,training
3833,Rock,training
3840,Rock,training
3880,Folk,training
3895,International,training
3896,International,training
3904,Folk,training
3905,Folk,training
3906,Folk,training
3908,Folk,training
3909,Folk,training
3910,Folk,training
3911,Folk,training
3912,Folk,training
3913,Folk,training
3920,Folk,training
3921,Folk,training
3950,Rock,training
4013,Folk,training
4017,Folk,training
4022,Rock,validation
4037,Folk,training
4066,Folk,training
4067,Folk,training
4068,Folk,training
4069,Folk,training
4070,International,training
4071,International,training
4072,International,training
4073,International,training
4074,International,training
4075,International,training
4076,International,training
4077,International,training
4078,International,training
4079,International,training
4080,International,training
4091,International,training
4092,International,training
4093,International,training
4094,International,training
4095,International,training
4096,International,training
4097,International,training
4098,International,training
4099,International,training
4100,International,training
4101,International,training
4102,International,training
4103,International,training
4108,Rock,test
4232,International,training
4233,International,training
4234,International,training
4235,International,training
4236,International,training
4239,International,training
4450,Folk,training
4507,International,training
4508,International,training
4509,International,training
4510,International,training
4511,International,training
4519,Electronic,training
4520,Electronic,training
4521,Electronic,training
4522,Electronic,training
4682,Hip-Hop,training
4684,Hip-Hop,training
4685,Hip-Hop,training
4688,Hip-Hop,training
4777,Rock,training
4778,Rock,training
4779,Rock,training
4780,Rock,training
4781,Rock,training
4782,Rock,training
4784,Rock,training
4785,Rock,training
4786,Rock,training
4787,Rock,training
4788,Rock,training
4799,Rock,training
4835,Rock,training
4836,Rock,training
4838,Rock,training
4846,International,training
4848,International,training
4849,International,training
5006,Rock,training
5156,Folk,training
5157,Folk,training
5158,Folk,training
5159,Folk,training
5169,Folk,training
5170,Folk,training
5171,Folk,training
5191,Pop,validation
5264,Hip-Hop,training
5268,Hip-Hop,training
5376,Folk,training
5381,Folk,training
5521,Experimental,training
5879,Folk,training
5936,Folk,training
5940,Folk,training
6329,International,training
6330,International,training
6331,International,validation
6332,International,training
6333,International,validation
6342,International,training
6354,International,training
6357,International,training
6358,International,validation
6360,International,training
6363,International,validation
6366,International,training
6367,International,training
6368,International,validation
6370,International,training
6372,International,validation
6373,International,training
6376,International,validation
6379,International,training
6380,International,validation
6381,International,training
6382,International,training
6383,International,training
6385,International,validation
6387,International,training
6389,International,training
6390,International,validation
6393,International,training
6394,International,training
6396,International,training
6406,Folk,training
6407,Folk,training
6439,Hip-Hop,training
6440,Hip-Hop,training
6442,Hip-Hop,training
6443,Hip-Hop,training
6448,Hip-Hop,training
6459,International,training
6461,Folk,validation
6463,Folk,validation
6467,Folk,validation
6469,International,training
6517,Rock,training
6519,Rock,training
6603,Hip-Hop,training
6605,Hip-Hop,training
6606,Hip-Hop,training
6607,Hip-Hop,training
6608,Hip-Hop,training
6609,Hip-Hop,training
6610,Hip-Hop,training
6611,Hip-Hop,training
6674,Experimental,training
6675,Experimental,training
6677,Experimental,training
6679,Experimental,training
6680,Experimental,training
6684,Experimental,training
6762,Folk,validation
6776,Rock,training
6778,Rock,training
6779,Folk,validation
6782,Folk,validation
6783,Folk,validation
6788,Rock,training
6802,International,training
6803,International,training
6854,Folk,training
6855,Folk,training
6856,Folk,training
6857,Folk,training
7011,Electronic,validation
7373,Experimental,test
7374,Experimental,test
7375,Experimental,test
7376,Experimental,test
7377,Experimental,test
7378,Experimental,test
7379,Experimental,test
7381,Experimental,test
7383,Experimental,test
7385,Experimental,test
7386,Experimental,test
7388,Experimental,test
7391,Experimental,test
7393,Experimental,test
7481,Hip-Hop,training
7482,Hip-Hop,training
7483,Hip-Hop,training
7487,Hip-Hop,training
7488,Hip-Hop,training
7489,Hip-Hop,training
7490,Hip-Hop,training
7491,Hip-Hop,training
7492,Hip-Hop,training
7495,Rock,training
7526,Pop,training
7527,Pop,training
7528,Pop,training
7529,Pop,training
7548,Experimental,training
7554,Experimental,training
7709,Folk,training
7710,Folk,training
7711,Folk,training
7712,Folk,training
7713,Folk,training
7872,Rock,training
8056,Rock,training
8208,Rock,training
8256,Folk,training
8259,Folk,training
8261,Folk,training
8345,Experimental,training
8357,Experimental,training
8363,Experimental,training
8372,Experimental,training
8416,Experimental,training
9152,Experimental,training
9155,Experimental,test
9307,Experimental,training
9476,Experimental,training
9477,Experimental,training
9491,Rock,training
9505,Experimental,training
9511,Rock,training
9512,International,training
9513,Rock,training
9550,Rock,validation
9553,Rock,validation
9555,Rock,validation
9557,Rock,validation
9559,Rock,validation
9560,Rock,validation
9678,Experimental,training
9721,Experimental,training
9846,Experimental,training
9887,Folk,training
9888,Folk,training
9918,Experimental,training
9962,Rock,training
10186,International,training
10192,Hip-Hop,training
10250,Instrumental,test
10374,Experimental,training
10375,Experimental,training
10376,Experimental,training
10377,Experimental,training
10381,Folk,test
10382,Folk,test
10383,Folk,test
10384,Folk,test
10385,Folk,test
10386,Folk,test
10387,Folk,test
10388,Folk,test
10389,Folk,test
10435,Experimental,training
10438,Folk,test
10439,Folk,test
10440,Folk,test
10441,Folk,test
10442,Folk,test
10443,Folk,test
10444,Folk,test
10447,Folk,test
10458,Folk,training
10480,Folk,test
10481,Folk,test
10485,Folk,test
10521,Experimental,training
10527,Experimental,training
10535,Experimental,training
10541,Experimental,training
10575,Folk,training
10577,Folk,training
10668,Rock,training
10669,Rock,training
10670,Rock,training
10671,Rock,training
10672,Rock,training
10673,Rock,training
10674,Rock,training
10675,Rock,training
10676,Rock,training
10677,Rock,training
10678,Folk,test
10679,Folk,test
10682,Folk,test
10684,Folk,test
10693,Hip-Hop,training
10694,Hip-Hop,training
10695,Hip-Hop,training
10696,Hip-Hop,training
10697,Hip-Hop,training
10698,Hip-Hop,training
10699,Hip-Hop,training
10805,Pop,training
10806,Pop,training
10807,Pop,training
10808,Pop,training
10809,Pop,training
10810,Pop,training
10983,Experimental,training
10992,Folk,test
10993,Folk,test
11019,Experimental,test
11020,Experimental,test
11059,Folk,test
11198,Pop,training
11199,Pop,training
11200,Pop,test
11204,Hip-Hop,test
11206,Electronic,training
11234,Experimental,training
11237,Experimental,training
11239,Experimental,training
11242,Experimental,training
11261,Pop,training
11262,Electronic,training
11264,Rock,training
11268,Rock,training
11298,Hip-Hop,training
11299,Hip-Hop,training
11306,Rock,training
11333,Experimental,training
11334,Experimental,training
11503,Folk,test
11504,Folk,test
11505,Folk,test
11508,Folk,test
11544,Experimental,training
11638,Instrumental,training
11671,International,training
11672,International,training
11673,International,training
11674,International,training
11675,International,training
11677,International,training
11679,International,training
11681,International,training
11682,International,training
11683,International,training
11763,Hip-Hop,training
11764,Hip-Hop,training
11765,Hip-Hop,training
11766,Hip-Hop,training
11767,Hip-Hop,training
11768,Hip-Hop,training
11769,Hip-Hop,training
11770,Hip-Hop,training
11771,Hip-Hop,training
11772,Hip-Hop,training
11773,Hip-Hop,training
11774,Hip-Hop,training
11775,Hip-Hop,training
11776,Hip-Hop,training
11777,Hip-Hop,training
11778,Hip-Hop,training
11779,Hip-Hop,training
11780,Hip-Hop,training
11781,Hip-Hop,training
11782,Hip-Hop,training
11783,Hip-Hop,training
11784,Hip-Hop,training
11785,Hip-Hop,training
11786,Hip-Hop,training
11787,Hip-Hop,training
11788,Hip-Hop,training
11789,Hip-Hop,training
11790,Hip-Hop,training
11791,Hip-Hop,training
11792,Hip-Hop,training
11793,Hip-Hop,training
11794,Hip-Hop,training
11795,Hip-Hop,training
11803,Hip-Hop,validation
11818,Hip-Hop,training
11839,Hip-Hop,training
11861,Hip-Hop,training
11862,Hip-Hop,training
11867,Hip-Hop,training
11868,Hip-Hop,training
11916,Hip-Hop,training
11917,Hip-Hop,training
11918,Hip-Hop,training
11919,Hip-Hop,training
11920,Hip-Hop,training
11921,Hip-Hop,training
11922,Hip-Hop,training
11933,Rock,training
11937,Pop,training
11942,Electronic,training
11946,Experimental,training
11947,Experimental,training
11951,Experimental,training
12045,Folk,test
12046,Folk,test
12047,Folk,test
12048,Folk,test
12049,Folk,test
12050,Folk,test
12051,Folk,test
12052,Folk,test
12053,Folk,test
12058,Folk,test
12059,Folk,test
12060,Folk,test
12061,Folk,test
12062,Folk,test
12064,Folk,test
12065,Folk,test
12066,Folk,test
12067,Folk,test
12109,International,training
12146,Pop,training
12147,Pop,training
12173,Hip-Hop,training
12174,Hip-Hop,training
12179,Pop,test
12188,Pop,validation
12189,Electronic,training
12346,Experimental,training
12348,Folk,training
12349,Folk,training
12350,Folk,training
12351,Folk,training
12352,Folk,training
12353,Folk,training
12355,Folk,training
12376,Pop,training
12387,Pop,test
12390,Pop,test
12394,Hip-Hop,training
12481,Folk,test
12482,Folk,test
12484,Folk,test
12485,Folk,test
12486,Folk,test
12487,Folk,test
12488,Folk,test
12489,Folk,test
12490,Folk,test
12508,Folk,test
12513,Folk,test
12514,Folk,test
12518,Pop,test
12521,Rock,test
12526,Hip-Hop,validation
12527,Pop,validation
12530,Pop,training
12531,Hip-Hop,training
12532,Pop,training
12537,Pop,training
12551,Pop,training
12552,Pop,training
12654,Pop,training
12690,International,test
12691,International,test
12692,International,test
12737,Experimental,training
12985,Folk,training
12986,Folk,training
13191,Pop,training
13197,Pop,training
13199,Hip-Hop,training
13201,Hip-Hop,validation
13218,Pop,training
13220,Pop,training
13325,Rock,training
13328,Pop,test
13362,Pop,training
13378,Pop,training
13474,Electronic,validation
13537,International,training
13538,International,training
13539,International,training
13540,International,training
13556,Rock,validation
13561,Hip-Hop,training
13562,Electronic,training
13566,Hip-Hop,training
13571,Electronic,training
13578,Experimental,test
13591,Hip-Hop,validation
13596,Rock,training
13666,Rock,test
13668,Electronic,training
13670,Hip-Hop,training
13706,Electronic,test
13707,Electronic,test
13708,Electronic,test
13709,Electronic,test
13710,Electronic,test
13711,Electronic,test
13735,Hip-Hop,training
13747,Hip-Hop,training
13748,Hip-Hop,training
13749,Hip-Hop,training
13767,Hip-Hop,training
13768,Hip-Hop,training
13804,Hip-Hop,training
13927,Folk,training
13928,Folk,training
13929,Folk,training
13930,Folk,training
14063,Electronic,training
14208,Electronic,training
14315,International,validation
14316,International,validation
14317,International,validation
14318,International,validation
14319,International,validation
14320,International,validation
14344,Electronic,training
14358,Hip-Hop,training
14363,Hip-Hop,validation
14365,Hip-Hop,validation
14386,Hip-Hop,training
14391,Hip-Hop,validation
14538,Hip-Hop,training
14539,Hip-Hop,training
14541,Hip-Hop,training
14542,Hip-Hop,training
14568,Instrumental,training
14569,Instrumental,training
14570,Instrumental,training
14571,Instrumental,training
14572,Instrumental,training
14576,Instrumental,training
14577,Instrumental,training
14578,Instrumental,training
14579,Instrumental,training
14580,Instrumental,training
14581,Instrumental,training
14583,Instrumental,training
14584,Instrumental,training
14585,Instrumental,training
14586,Instrumental,training
14588,Instrumental,training
14589,Instrumental,training
14590,Instrumental,training
14601,International,test
14602,International,test
14603,International,test
14604,International,test
14653,Rock,test
14661,Folk,training
14663,Pop,test
14684,Folk,training
14690,Experimental,test
14693,Folk,training
14733,Rock,test
14734,Rock,test
14735,Rock,test
14736,Rock,test
14737,Rock,test
14738,Rock,test
14739,Rock,test
14740,Rock,test
14741,Rock,test
14742,Rock,test
14743,Rock,test
14744,Rock,test
14745,Rock,test
14809,Folk,training
14869,Electronic,validation
15094,Experimental,test
15210,Hip-Hop,training
15464,Experimental,training
15469,Experimental,training
15471,Experimental,training
15475,Experimental,training
15476,Experimental,training
15487,International,training
15488,International,training
15540,Experimental,training
15541,Experimental,training
15542,Experimental,training
15543,Experimental,training
15625,Experimental,training
15769,Electronic,validation
15770,Electronic,validation
15771,Electronic,validation
15772,Electronic,validation
15773,Electronic,validation
15880,International,training
16095,Pop,training
16155,Pop,training
16158,Pop,training
16162,Hip-Hop,training
16163,Pop,training
16334,International,training
16337,Pop,test
16338,Pop,test
16339,Pop,test
16340,Pop,test
16354,Rock,training
16743,International,training
16744,International,training
16745,International,training
16747,International,training
16819,Rock,training
16820,Rock,training
16821,Rock,training
16822,Rock,training
16878,Hip-Hop,training
16879,Hip-Hop,training
16880,Hip-Hop,training
16895,Pop,validation
16994,Rock,test
16995,Rock,test
16997,Rock,test
17132,Folk,training
17344,Pop,validation
17345,Pop,validation
17462,Rock,training
17491,Hip-Hop,training
17496,Hip-Hop,training
17499,Hip-Hop,training
17500,Hip-Hop,training
17573,Experimental,training
17588,Electronic,training
17605,International,training
17606,International,training
17607,International,training
17608,International,training
17609,International,training
17610,International,training
17611,International,training
17631,International,training
17632,International,training
17633,International,training
17634,International,training
17635,International,training
17636,International,training
17637,International,training
17644,Experimental,training
17735,Rock,training
17782,Hip-Hop,training
17884,Electronic,training
17906,Pop,training
18031,International,training
18032,International,training
18033,International,training
18034,International,training
18037,International,validation
18038,International,validation
18039,International,validation
18043,International,training
18044,International,training
18112,Experimental,test
18124,Experimental,training
18144,Pop,training
18145,Pop,training
18146,Pop,training
18159,Folk,training
18197,Rock,training
18350,Folk,test
18607,Rock,training
18611,Rock,training
18876,Experimental,training
18877,Experimental,training
18887,Rock,training
19073,Pop,training
19074,Pop,training
19179,Rock,training
19184,Rock,training
19187,Rock,training
19192,Experimental,training
19412,Pop,training
19413,Pop,training
19415,Pop,training
19416,Pop,training
19417,Pop,training
19418,Pop,training
19420,Pop,training
19422,Pop,training
19423,Pop,training
19425,Pop,training
19438,Hip-Hop,training
19439,Hip-Hop,test
19441,Pop,training
19442,Pop,training
19459,International,training
19673,International,validation
19674,International,validation
19685,Rock,test
19689,Pop,validation
19707,Folk,training
19708,Folk,training
19729,Hip-Hop,training
19758,Pop,training
19759,Pop,training
19760,Pop,training
19889,International,training
19890,International,training
19891,International,training
20050,Rock,training
20296,Experimental,test
20361,Instrumental,training
20362,Instrumental,training
20364,Instrumental,training
20365,Instrumental,training
20366,Instrumental,training
20369,Instrumental,training
20372,Instrumental,training
20373,Instrumental,training
20374,Instrumental,training
20375,Instrumental,training
20376,Instrumental,training
20424,Experimental,training
20432,International,training
20469,Hip-Hop,training
20667,Electronic,test
20704,Pop,training
20818,Experimental,validation
21058,Experimental,training
21085,Electronic,training
21087,Folk,training
21167,Electronic,training
21228,Hip-Hop,training
21231,Pop,training
21232,Pop,training
21400,Pop,training
21401,Pop,training
21402,Pop,training
21403,Pop,training
21404,Pop,training
21409,Pop,training
21422,Electronic,training
21565,Pop,validation
21587,Pop,validation
21657,Pop,training
21672,Pop,training
21676,Pop,training
21677,Pop,training
21707,Folk,training
21774,Experimental,training
21842,Electronic,training
21859,Rock,training
21860,Rock,training
21891,Electronic,training
21895,Electronic,training
21995,Pop,test
21996,Pop,test
21997,Pop,test
21998,Pop,test
21999,Pop,test
22000,Pop,test
22001,Pop,test
22088,Hip-Hop,training
22091,Hip-Hop,training
22093,Rock,training
22094,Hip-Hop,training
22095,Electronic,training
22097,Pop,training
22150,Experimental,validation
22295,Hip-Hop,training
22296,Hip-Hop,validation
22315,International,validation
22348,Pop,training
22472,Pop,training
22473,Pop,training
22474,Pop,training
22475,Pop,training
22476,Pop,training
22477,Pop,training
22478,Pop,training
22479,Pop,training
22480,Pop,training
22481,Pop,training
23010,Electronic,test
23013,Electronic,training
23014,Folk,validation
23015,Folk,training
23016,Electronic,training
23037,Rock,training
23039,Pop,training
23041,Rock,test
23063,Experimental,test
23155,International,training
23156,International,training
23172,Rock,training
23329,Experimental,validation
23353,Electronic,training
23355,Electronic,validation
23371,Folk,training
23372,Electronic,training
23505,Electronic,training
23862,Electronic,test
24216,Experimental,training
24217,Experimental,training
24218,Experimental,training
24362,International,training
24363,International,training
24364,International,training
24365,International,training
24366,International,training
24367,International,training
24368,International,training
24369,International,training
24370,International,training
24371,International,training
24418,Hip-Hop,training
24420,Hip-Hop,training
24421,Hip-Hop,training
24422,Hip-Hop,training
24423,Hip-Hop,training
24424,Hip-Hop,training
24425,Hip-Hop,training
24426,Hip-Hop,training
24427,Hip-Hop,training
24428,Hip-Hop,training
24429,Hip-Hop,training
24430,Hip-Hop,training
24431,Hip-Hop,training
24432,Hip-Hop,training
24512,Experimental,training
24515,Experimental,training
24521,Experimental,training
24524,Experimental,training
24698,International,training
24699,International,training
24700,International,training
24701,International,training
24702,International,training
24717,International,training
24720,International,training
24739,International,training
24741,International,training
24742,International,training
24745,International,training
24746,International,training
24747,International,training
24748,International,training
24749,International,training
24842,International,training
24898,Experimental,training
24899,Experimental,training
24901,Experimental,training
24912,Experimental,training
24915,Experimental,training
24917,Experimental,training
24963,Experimental,training
24975,Experimental,training
24983,Experimental,training
25028,International,validation
25029,International,validation
25030,International,validation
25031,International,validation
25032,International,validation
25033,International,validation
25055,Pop,test
25063,Experimental,training
25066,Electronic,training
25104,Pop,training
25124,Pop,training
25215,International,training
25216,International,training
25227,International,training
25232,International,training
25233,International,training
25234,International,training
25235,International,training
25324,Experimental,training
25378,Electronic,training
25601,International,training
25603,International,training
25605,International,training
25606,International,training
25608,International,training
25609,International,training
25668,International,validation
25669,International,validation
25670,International,validation
25795,International,training
25796,International,training
25797,International,training
25802,International,training
25804,International,training
26007,Hip-Hop,training
26008,Hip-Hop,training
26010,Hip-Hop,training
26011,Hip-Hop,training
26012,Hip-Hop,training
26013,Hip-Hop,training
26014,Hip-Hop,training
26016,Hip-Hop,training
26017,Hip-Hop,training
26020,Hip-Hop,training
26021,Hip-Hop,training
26022,Hip-Hop,training
26025,Hip-Hop,training
26026,Hip-Hop,training
26034,Hip-Hop,training
26035,Hip-Hop,training
26036,Hip-Hop,training
26169,Pop,training
26174,Pop,training
26298,Pop,training
26301,Experimental,training
26302,Folk,training
26307,Experimental,training
26322,Experimental,training
26464,Folk,training
26465,Folk,training
26466,Folk,training
26583,Experimental,training
26600,Experimental,training
26605,Experimental,training
26629,Electronic,training
26638,Rock,training
26639,Rock,training
26640,Rock,training
26641,Rock,training
26642,Rock,training
26643,Rock,training
26651,Electronic,training
26652,Electronic,training
26653,Electronic,training
26654,Electronic,training
26655,Electronic,training
26656,Electronic,training
26657,Electronic,training
26658,Electronic,training
26659,Electronic,training
26674,Rock,training
26681,Rock,training
26754,Pop,training
26765,Pop,training
26859,Electronic,test
26861,Electronic,test
26902,Electronic,test
26904,Electronic,test
26905,Electronic,test
26906,Electronic,test
27164,Pop,training
27177,Electronic,training
27194,International,training
27195,International,training
27197,International,training
27198,International,training
27258,Folk,training
27406,Electronic,training
27454,Experimental,training
27455,Experimental,training
27456,Experimental,training
27547,Pop,training
27548,Pop,training
27549,Pop,training
27550,Pop,training
27551,Pop,training
27552,Pop,training
27609,International,training
27610,International,training
27611,International,training
27612,International,training
27613,International,training
27667,Electronic,training
27673,Electronic,training
27797,Pop,training
27798,Electronic,validation
27799,Hip-Hop,training
27802,Pop,training
27803,Experimental,training
27804,Folk,training
27805,Pop,training
27855,Folk,training
27856,Folk,training
27866,Experimental,training
27945,Experimental,training
27953,International,training
27975,International,training
27978,International,training
27981,International,training
27987,International,training
28070,Rock,test
28072,Rock,test
28179,Electronic,test
28241,Experimental,training
28260,Rock,training
28266,Rock,test
28274,Rock,validation
28375,Experimental,validation
28376,Experimental,validation
28477,Pop,training
28478,Pop,training
28479,Pop,training
28480,Pop,training
28481,Pop,training
28482,Pop,training
28483,Pop,training
28484,Pop,training
28485,Pop,training
28546,Electronic,training
28548,Electronic,training
28553,Electronic,training
28571,Experimental,training
28608,Pop,training
28692,Rock,test
28802,Pop,test
29037,Electronic,validation
29039,Electronic,validation
29040,Electronic,validation
29041,Electronic,validation
29042,Electronic,validation
29043,Electronic,validation
29044,Electronic,validation
29045,Pop,training
29128,Pop,training
29180,Pop,training
29243,Pop,training
29245,Pop,training
29255,Pop,training
29271,Pop,training
29272,Experimental,training
29350,International,validation
29351,International,test
29355,International,training
29465,Experimental,training
29480,Folk,training
29526,Electronic,validation
29528,Electronic,validation
29530,Electronic,validation
29587,Hip-Hop,training
29602,Hip-Hop,training
29673,Electronic,training
29718,Hip-Hop,training
29719,Hip-Hop,training
29720,Hip-Hop,training
29721,Hip-Hop,training
29738,Experimental,training
29739,Experimental,training
29740,Experimental,training
29741,Experimental,training
29742,Experimental,training
29744,Experimental,training
29745,Experimental,training
29746,Experimental,training
29747,Experimental,training
29750,Experimental,training
29752,Experimental,training
29807,Rock,training
29813,Rock,training
29816,Electronic,training
29961,Hip-Hop,training
29971,Folk,training
30041,Hip-Hop,training
30043,Hip-Hop,training
30050,Hip-Hop,training
30056,Hip-Hop,training
30058,Hip-Hop,training
30059,Hip-Hop,training
30090,Experimental,training
30095,Experimental,training
30120,Experimental,training
30196,Instrumental,training
30198,Experimental,training
30230,Hip-Hop,training
30316,Experimental,test
30486,Pop,training
30487,Pop,training
30488,Pop,training
30519,Electronic,training
30520,Electronic,training
30521,Electronic,training
30522,Electronic,training
30636,Experimental,training
30682,Experimental,validation
30690,Experimental,training
30702,Experimental,validation
30740,Experimental,training
30895,Electronic,validation
31040,Electronic,training
31041,Electronic,training
31042,Electronic,training
31043,Electronic,training
31044,Electronic,training
31165,International,training
31356,Folk,training
31389,Folk,training
31390,Folk,training
31391,Folk,training
31392,Folk,training
31568,Electronic,validation
31807,Folk,training
31887,International,training
31888,International,training
31889,International,training
31999,Rock,training
32001,Rock,training
32021,Rock,training
32075,Rock,training
32081,Rock,training
32218,Electronic,training
32325,Pop,training
32326,Pop,training
32327,Pop,training
32328,Pop,training
32329,Pop,training
32330,Pop,training
32331,Pop,training
32332,Pop,training
32333,Pop,training
32334,Pop,training
32335,Pop,training
32336,Pop,training
32337,Pop,training
32338,Pop,training
32339,Pop,training
32340,Pop,training
32433,Electronic,training
32435,Electronic,test
32437,Electronic,training
32438,Electronic,training
32439,Electronic,training
32525,Pop,training
32686,Hip-Hop,training
32687,Hip-Hop,training
32689,Hip-Hop,training
32693,Hip-Hop,training
32694,Hip-Hop,training
32695,Hip-Hop,training
32755,Hip-Hop,training
32756,Folk,validation
32759,Pop,training
32760,Pop,training
32800,Folk,training
32882,Hip-Hop,training
33020,Rock,training
33049,Folk,training
33050,Folk,training
33064,Electronic,training
33067,International,training
33068,International,training
33069,International,training
33070,International,training
33071,International,training
33072,International,training
33123,Electronic,training
33124,Electronic,training
33203,Electronic,training
33216,Electronic,training
33221,Electronic,training
33278,Experimental,training
33415,International,training
33422,International,training
33424,International,training
33426,International,training
33446,Folk,training
33459,Rock,training
33460,Rock,training
33461,Rock,training
33465,Rock,training
33477,Experimental,training
33486,Experimental,validation
33538,Rock,training
33992,Rock,test
34003,Experimental,training
34147,Folk,training
34167,Hip-Hop,training
34257,Experimental,training
34258,Experimental,training
34263,Experimental,training
34484,Folk,training
34510,Experimental,training
34511,Pop,training
34994,Experimental,training
34996,Experimental,training
35007,Experimental,training
35008,Experimental,validation
35182,Pop,test
35184,Pop,test
35198,Experimental,test
35199,Experimental,test
35204,Experimental,test
35296,Electronic,training
35299,Electronic,training
35443,Folk,training
35444,Experimental,training
35462,Experimental,validation
35527,Rock,training
35534,Rock,training
35535,Rock,training
35537,Rock,training
35539,Rock,training
35541,Rock,training
35543,Rock,training
35544,Pop,test
35545,Pop,test
35549,Pop,test
35550,Pop,test
35569,Electronic,test
35571,Rock,training
35608,Pop,test
35734,Folk,training
36096,Electronic,test
36097,Electronic,test
36099,Electronic,test
36143,Electronic,training
36144,Electronic,training
36145,Electronic,training
36146,Electronic,training
36147,Electronic,training
36245,Electronic,validation
36257,Electronic,validation
36258,Electronic,validation
36261,Electronic,validation
36272,International,training
36273,International,training
36275,International,training
36277,International,training
36302,Hip-Hop,test
36304,Hip-Hop,training
36322,Folk,training
36333,Folk,training
36371,Pop,training
36380,Electronic,training
36388,Pop,training
36428,Electronic,training
36435,Electronic,training
36481,Rock,training
36526,Rock,training
36560,Pop,validation
36567,Experimental,training
36614,Pop,training
36615,Pop,training
36616,Pop,training
36618,Pop,training
36643,Pop,training
36659,Electronic,training
36799,Experimental,test
36959,Pop,test
36961,Pop,test
36965,Pop,test
36966,Pop,test
36983,Hip-Hop,training
36984,Hip-Hop,training
36985,Hip-Hop,training
36986,Hip-Hop,training
36987,Hip-Hop,training
36988,Hip-Hop,training
36990,Hip-Hop,training
36992,Hip-Hop,training
36994,Hip-Hop,training
36997,Hip-Hop,training
36998,Electronic,test
36999,International,training
37041,Experimental,training
37111,Instrumental,training
37113,Instrumental,training
37119,Instrumental,training
37121,Experimental,training
37131,Electronic,training
37136,Pop,training
37141,Instrumental,training
37147,Rock,training
37324,Pop,training
37325,Pop,training
37368,Pop,training
37369,Pop,training
37416,Hip-Hop,training
37417,Hip-Hop,training
37423,Hip-Hop,training
37538,Experimental,training
37592,Rock,training
37725,Rock,training
37727,Rock,training
37730,Rock,training
37731,Rock,training
37779,Experimental,training
37781,Experimental,training
37784,Experimental,training
37859,Rock,training
37911,Instrumental,training
37920,Electronic,training
38312,Experimental,training
38321,International,training
38323,International,training
38326,International,training
38351,International,training
38352,International,training
38353,International,training
38354,International,training
38361,Folk,training
38362,Folk,training
38363,Folk,training
38365,International,training
38399,Folk,training
38435,Rock,training
38450,Experimental,training
38522,Rock,training
38557,Rock,training
38560,International,training
38775,International,test
38776,International,test
38777,International,test
38778,International,test
38779,International,test
38780,International,test
